566		276		1
669		214		1
576		302		1
575		285		1
548		310		1
570		317		1
593		301		1
584		267		1
558		273		1
546		282		1
589		312		1
588		291		1
603		290		1
678		196		1
712		190		1
734		248		1
703		247		1
677		252		1
685		224		1
718		216		1
706		229		1
663		226		1
594		281		1
559		291		1
653		234		1
637		212		1
690		179		1
698		205		1
649		180		1
658		195		1
656		210		1
675		243		1
693		261		1
713		263		1
727		235		1
693		240		1
380		223		2
394		202		2
419		198		2
447		215		2
469		186		2
493		156		2
497		201		2
617		132		2
610		115		2
587		116		2
586		132		2
592		151		2
571		112		2
426		226		2
405		219		2
446		233		2
512		204		2
578		97		2
595		102		2
607		136		2
465		238		2
473		222		2
492		236		2
482		199		2
468		166		2
446		171		2
445		186		2
464		205		2
431		254		2
570		132		2
582		152		2
592		120		2
599		138		2
607		155		2
506		217		2
510		184		2
490		179		2
